beta,ctprime,yaw,ct,an,dPstar,us,A4,u4,v4,success
0.01,-2.0,-0.7853981633974483,-2.1309770616559933,-0.459786649362157,-0.004301914990881921,0.9956887917468704,0.6037068972059223,1.709811644502301,-0.3767070573297902,true
0.01,-2.0,-0.6108652381980153,-3.898657147972987,-0.7044254291194146,-0.0073705670332461825,0.9926020682696071,0.6612825244370237,2.111326890791209,-0.5590444700776339,true
0.01,-2.0,-0.4363323129985824,-5.937188815483619,-0.9010770586646015,-0.01040439553901819,0.9895409081531916,0.6842079617726752,2.518183272989109,-0.6272911211974143,true
0.01,-2.0,-0.2617993877991494,-7.276816074932457,-0.9747490933017104,-0.012255087203523205,0.9876688845914319,0.6827689114810136,2.793714121421897,-0.47084464697236234,true
0.01,-2.0,-0.08726646259971647,-7.825498559262383,-0.9856229512094137,-0.013009735223304411,0.9869045189652634,0.6773896976356782,2.9201315925930786,-0.17050928482260422,true
0.01,-2.0,0.08726646259971647,-7.825498559314154,-0.9856229512159819,-0.013009735223361256,0.9869045189652058,0.6773896976354914,2.9201315926018854,0.17050928482373273,true
0.01,-2.0,0.2617993877991494,-7.276816074932457,-0.9747490933017104,-0.012255087203523205,0.9876688845914319,0.6827689114810136,2.793714121421897,0.47084464697236234,true
0.01,-2.0,0.4363323129985824,-5.937188815499931,-0.901077058667213,-0.010404395539040389,0.9895409081531692,0.6842079617728302,2.518183272991969,0.6272911211990622,true
0.01,-2.0,0.6108652381980153,-3.8986571479737733,-0.7044254291195865,-0.00737056703324755,0.9926020682696057,0.6612825244370364,2.111326890791371,0.5590444700777416,true
0.01,-2.0,0.7853981633974483,-2.130977061639237,-0.45978664935641755,-0.004301914990847473,0.995688791746905,0.6037068972051945,1.709811644498089,0.37670705732670134,true
0.01,-1.0,-0.7853981633974483,-0.6849102834622454,-0.1703933385509721,-0.001857990044897181,0.9981402806776443,0.6428164576553981,1.287448279224067,-0.12107617555527184,true
0.01,-1.0,-0.6108652381980153,-1.0162531946691848,-0.23065534563716922,-0.0029239634291526196,0.997071749230716,0.717369245899962,1.4052647433959202,-0.14572469303032426,true
0.01,-1.0,-0.4363323129985824,-1.345859323193559,-0.2800417125918378,-0.003970236082304683,0.9960218510628015,0.7653418237879634,1.5158090944498408,-0.14219620907778344,true
0.01,-1.0,-0.2617993877991494,-1.607313248671711,-0.3125216751969153,-0.0047843233364539255,0.995204176702998,0.792014616084062,1.6007262465750383,-0.10400082005049543,true
0.01,-1.0,-0.08726646259971647,-0.017743774874747164,0.8662854142143064,0.00009146852340244066,1.0000894480760467,0.13406178926143006,0.9936363954886817,-0.000432086952828844,true
0.01,-1.0,0.08726646259971647,-0.017743765089332127,0.8662854510850655,0.00009146757722244256,1.0000894475471733,0.13406178108608857,0.9936364177663596,0.0004320845425204571,true
0.01,-1.0,0.2617993877991494,-1.6073132486717865,-0.31252167519694624,-0.004784323336454189,0.9952041767029978,0.7920146160840688,1.6007262465750616,0.10400082005050042,true
0.01,-1.0,0.4363323129985824,-1.345859323193559,-0.2800417125918378,-0.003970236082304683,0.9960218510628015,0.7653418237879634,1.5158090944498408,0.14219620907778344,true
0.01,-1.0,0.6108652381980153,-1.0162531946691848,-0.23065534563716922,-0.0029239634291526196,0.997071749230716,0.717369245899962,1.4052647433959202,0.14572469303032426,true
0.01,-1.0,0.7853981633974483,-0.6849102834865252,-0.17039333857171723,-0.0018579900449470217,0.9981402806775944,0.6428164576545728,1.2874482792331092,0.12107617555943827,true
0.01,0.1,-0.7853981633974483,0.04863448929982017,0.013749633208482272,0.00017602359860263302,1.000176008109745,0.7148533020773263,0.9755544450466737,0.00859744038927525,true
0.01,0.1,-0.6108652381980153,0.06475129513080079,0.01766479117928923,0.000273758046257901,1.0002737205849623,0.8318267500513382,0.9673677871046945,0.009284955288468288,true
0.01,0.1,-0.4363323129985824,0.07875851296781529,0.02079630783019084,0.0003711172308207835,1.000371048390832,0.9242244342255823,0.960224189513131,0.008321197027334642,true
0.01,0.1,-0.2617993877991494,0.0890704054170681,0.022936169925094653,0.0004497579594524474,1.0004496568640766,0.9882886336742105,0.954951034842749,0.005763279664520331,true
0.01,0.1,-0.08726646259971647,0.09453031713602647,0.02401907113067978,0.0004937175627504355,1.0004935957447443,1.0211211983180293,0.9521549765419853,0.0020597150387701626,true
0.01,0.1,0.08726646259971647,0.09453031713553725,0.024019071133205228,0.0004937175627482789,1.0004935957447423,1.0211211983182298,0.9521549765422435,-0.0020597150387594862,true
0.01,0.1,0.2617993877991494,0.0890704054170681,0.022936169925094653,0.0004497579594524474,1.0004496568640766,0.9882886336742105,0.954951034842749,-0.005763279664520331,true
0.01,0.1,0.4363323129985824,0.07875851296781529,0.02079630783019084,0.0003711172308207835,1.000371048390832,0.9242244342255823,0.960224189513131,-0.008321197027334642,true
0.01,0.1,0.6108652381980153,0.06475129513080079,0.01766479117928923,0.000273758046257901,1.0002737205849623,0.8318267500513382,0.9673677871046945,-0.009284955288468288,true
0.01,0.1,0.7853981633974483,0.048634489299216314,0.0137496332146051,0.00017602359859674442,1.0001760081097393,0.7148533020737429,0.9755544450469652,-0.008597440389178616,true
0.01,1.6736842105263159,-0.7853981633974483,0.55806269825393,0.18338051990416518,0.002820047882295895,1.0028160827217445,0.8566328491510673,0.6740773978620135,0.09865248134598953,true
0.01,1.6736842105263159,-0.6108652381980153,0.673890483071774,0.22537165838567472,0.0044522582788637695,1.0044423908310556,1.0740105792355934,0.5908136091945608,0.09663190934241292,true
0.01,1.6736842105263159,-0.4363323129985824,0.7582075847279206,0.2573544359384882,0.0061561356851423605,1.0061373024030276,1.2789459943234862,0.5262648412071399,0.08010809555225248,true
0.01,1.6736842105263159,-0.2617993877991494,0.8124830769862447,0.27868224166369415,0.007595860169865807,1.0075672287061817,1.442543699807507,0.48299331179809546,0.05257152319128431,true
0.01,1.6736842105263159,-0.08726646259971647,0.8389713209365574,0.2892897611829537,0.008416656517477234,1.0083815314823468,1.533307501425125,0.46175068110060363,0.018280292158732555,true
0.01,1.6736842105263159,0.08726646259971647,0.8389713209365574,0.2892897611829537,0.008416656517477234,1.0083815314823468,1.533307501425125,0.46175068110060363,-0.018280292158732555,true
0.01,1.6736842105263159,0.2617993877991494,0.8124830769819277,0.2786822416656105,0.007595860169697744,1.007567228706015,1.4425436997940957,0.4829933118023626,-0.052571523191004825,true
0.01,1.6736842105263159,0.4363323129985824,0.7582075847276623,0.25735443593861485,0.006156135685129982,1.0061373024030151,1.2789459943223915,0.5262648412073049,-0.0801080955522269,true
0.01,1.6736842105263159,0.6108652381980153,0.6738904830696347,0.22537165838690432,0.004452258278813799,1.0044423908310058,1.074010579231848,0.5908136091964583,-0.09663190934209703,true
0.01,1.6736842105263159,0.7853981633974483,0.55806269825393,0.18338051990416518,0.002820047882295895,1.0028160827217445,0.8566328491510673,0.6740773978620135,-0.09865248134598953,true
0.01,3.2473684210526317,-0.7853981633974483,0.8019807491235502,0.2972009139334839,0.005206527720354529,1.0051930438680288,1.011008180080756,0.4915430062650416,0.1417715065167875,true
0.01,3.2473684210526317,-0.6108652381980153,0.9108538385726114,0.3534620148271906,0.008169039793879587,1.0081359430101564,1.3323660839768632,0.39749790760834186,0.13061107441566513,true
0.01,3.2473684210526317,-0.4363323129985824,0.9801518862799696,0.3938149840707834,0.011231954117593774,1.0111695744211784,1.6479408607785262,0.3333798043511481,0.10355752162025111,true
0.01,3.2473684210526317,-0.2617993877991494,1.0211684606479545,0.41945065846578994,0.013758468884173893,1.013665101386187,1.9012963285959,0.2949396118452357,0.0660744614664884,true
0.01,3.2473684210526317,-0.08726646259971647,1.040603611159042,0.43175888114755323,0.015142973946114668,1.01503002314703,2.0384433481298485,0.2777015046958628,0.022673645207009974,true
0.01,3.2473684210526317,0.08726646259971647,1.040603611159042,0.43175888114755323,0.015142973946114668,1.01503002314703,2.0384433481298485,0.2777015046958628,-0.022673645207009974,true
0.01,3.2473684210526317,0.2617993877991494,1.021168460647952,0.4194506584657907,0.013758468884173602,1.0136651013861868,1.901296328595872,0.2949396118452392,-0.06607446146648822,true
0.01,3.2473684210526317,0.4363323129985824,0.9801518862799802,0.3938149840707801,0.011231954117594567,1.0111695744211793,1.6479408607785995,0.3333798043511341,-0.10355752162025225,true
