2.3107430000000002e-02,1.0000000000000001e-01,
4.7425780000000001e-02,2.0000000000000001e-01,
7.3205259999999994e-02,3.0000000000000004e-01,
1.0077223000000000e-01,4.0000000000000002e-01,
1.3059290000000001e-01,5.0000000000000000e-01,
1.6345968999999999e-01,5.9999999999999998e-01,
2.0068811000000000e-01,7.0000000000000007e-01,
2.4513029000000000e-01,8.0000000000000004e-01,
3.0533498999999997e-01,9.0000000000000002e-01,
4.0943400000000002e-01,9.9999999999999989e-01,
5.3079829999999995e-01,1.0999999999999999e+00,
6.8123754000000003e-01,1.1999999999999997e+00,
7.7134029999999998e-01,1.2999999999999998e+00,
7.7457648000000001e-01,1.3999999999999999e+00,
9.8184084999999999e-01,1.5000000000000000e+00,
1.0428683800000000e+00,1.5999999999999999e+00,
9.9920547000000004e-01,1.7000000000000000e+00,
1.0609045500000001e+00,1.7999999999999998e+00,
1.0931548300000000e+00,1.8999999999999999e+00,
