name,ctp,yaw,ct,cp,u4,v4,an,p1,p4,dp,x0,dv,du,u_hub,rews
yaw_00_ct_01,0.4,0.0,0.32897541837628963,0.2983425354261019,0.8216323316105214,-0.009204008051449712,0.0931160239916442,0.005115687162591092,0.029903960899016254,0.024788273736425163,5.0,0.009204008051449712,0.1783676683894786,0.9078004863303007,0.9185222846934052
yaw_01_ct_01,0.4,5.0,0.3268246266926106,0.29542154495265543,0.8144016949499295,-0.014058486422533033,0.09263261382045607,0.004796170101321484,0.028536388680559816,0.02374021857923833,5.0,0.014058486422533033,0.18559830505007047,0.90581956,0.9069072901724076
yaw_02_ct_01,0.4,10.0,0.3195163792889942,0.28556810106302966,0.8180733349067388,-0.021841223204764202,0.09246139440380674,0.0044541131826690535,0.02765977841613162,0.02320566523346257,5.0,0.021841223204764202,0.18192666509326116,0.9056616973583512,0.9071274963425894
yaw_03_ct_01,0.4,15.0,0.30817336791804195,0.27049712983638186,0.8276226591437866,-0.028121245635086715,0.09129319875760478,0.00423057688524594,0.02706381500038496,0.022833238115139022,5.0,0.028121245635086715,0.17237734085621337,0.9061128666685644,0.9072182459361058
yaw_04_ct_01,0.4,20.0,0.29233471141256295,0.24991399860219823,0.8334246704573299,-0.03239451979145765,0.09024514722199928,0.003806509822677918,0.02650649229885136,0.02269998247617344,5.0,0.03239451979145765,0.16657532954267007,0.9075579633054832,0.904010628
yaw_05_ct_01,0.4,25.0,0.27383507432559656,0.22657063178241119,0.8523617934633851,-0.0360008380452371,0.08706715964060152,0.003368852854700887,0.027096206389465458,0.02372735353476457,5.0,0.0360008380452371,0.14763820653661486,0.906902275,0.9110672896563612
yaw_06_ct_01,0.4,30.0,0.2507760960278474,0.19856340433515682,0.857534029707706,-0.0383205942917288,0.08571321780700314,0.003069944784917677,0.026498877855216582,0.023428933070298905,5.0,0.0383205942917288,0.14246597029229402,0.9078288502511898,0.9026428428033656
yaw_07_ct_01,0.4,35.0,0.22648432890218587,0.1704226210347126,0.8710323007125031,-0.03938096675344057,0.08140397122508025,0.0026980689332663775,0.026458716200311906,0.023760647267045527,5.0,0.03938096675344057,0.12896769928749685,0.9069853997662116,0.902241581
yaw_08_ct_01,0.4,40.0,0.19761226896989947,0.13889635901452785,0.8907979697540269,-0.04175637445922862,0.08246425961084358,0.0026658602776152666,0.02682028497881302,0.024154424701197753,5.0,0.04175637445922862,0.10920203024597308,0.9080296390148777,0.9088312536910452
yaw_09_ct_01,0.4,45.0,0.16984639359559306,0.11067626613830309,0.9085293835893508,-0.03839908534932512,0.07846217224795105,0.0023110748953889555,0.027711077038748897,0.02540000214335994,5.0,0.03839908534932512,0.09147061641064924,0.9087001761252176,0.9165094474490036
yaw_00_ct_03,0.8,0.0,0.5564266505960882,0.4640522584808473,0.6818166602853565,-0.005994236903428967,0.16601360128290443,0.009678360637245823,0.023418060974603305,0.013739700337357483,5.0,0.005994236903428967,0.3181833397146435,0.9061582207932736,0.900761105
yaw_01_ct_03,0.8,5.0,0.5528877593898541,0.4596322243549025,0.6933411315840233,-0.015600758238125735,0.1654943757648103,0.010089661985591258,0.024807071167264265,0.014717409181673007,5.0,0.015600758238125735,0.30665886841597667,0.9070105089192468,0.917645194
yaw_02_ct_03,0.8,10.0,0.5410633110838585,0.444966315241556,0.6927635617148677,-0.02239050262070373,0.16492094615709574,0.008607416213379454,0.022860832281008204,0.01425341606762875,5.0,0.02239050262070373,0.30723643828513225,0.9049651708881754,0.9002143429591215
yaw_03_ct_03,0.8,15.0,0.5238241842396928,0.4238706291758378,0.7098819599001206,-0.03498824159812831,0.16227012962734433,0.007655608902896402,-0.001360964130105957,-0.00901657303300236,2.3,0.03498824159812831,0.2901180400998794,0.907421976,0.906683561
yaw_04_ct_03,0.8,20.0,0.49801024549813566,0.3929274979725673,0.7282902936873659,-0.041326655283157904,0.1603692628477349,0.006170577752350317,-0.0018017584997176309,-0.007972336252067948,2.0999999999999996,0.041326655283157904,0.27170970631263414,0.9077813179126016,0.9065478438739696
yaw_05_ct_03,0.8,25.0,0.46995788085756557,0.3601997538616685,0.7475232407539409,-0.049904906039398705,0.15431473539403373,0.005062057788677078,-0.0007386737642772875,-0.005800731552954365,2.1999999999999993,0.049904906039398705,0.25247675924605906,0.9059335112674368,0.9091113135339588
yaw_06_ct_03,0.8,30.0,0.43450966448265,0.32022421330030143,0.7744913136127778,-0.05586550810386391,0.14901070856458487,0.003890294977042341,-0.0006525567994967815,-0.004542851776539123,2.0999999999999996,0.05586550810386391,0.2255086863872222,0.9067148241283762,0.9138556270113444
yaw_07_ct_03,0.8,35.0,0.3934638290939084,0.2759384545645783,0.7961249570779356,-0.06019656103744924,0.14386373413209919,0.0030166023631538036,-0.0004171218405755394,-0.0034337242037293433,1.9999999999999991,0.06019656103744924,0.20387504292206438,0.906018846,0.9087520862171704
yaw_08_ct_03,0.8,40.0,0.3515987798506915,0.233091290012162,0.8216931806477843,-0.05934414730281044,0.13458439989196114,0.001991002485678468,-0.00157421784098997,-0.003565220326668438,1.6999999999999993,0.05934414730281044,0.1783068193522157,0.907292847,0.9090902802532748
yaw_09_ct_03,0.8,45.0,0.30448581409223324,0.18784757899054094,0.857015535743948,-0.06217665324072163,0.12752390563948235,0.0018712060778256693,-5.876883376427061e-6,-0.0018770829612020964,1.6999999999999993,0.06217665324072163,0.14298446425605205,0.906404625,0.9140877881466818
