5.2924331573292904e-02,2.0000000000000001e-01,
1.1236716988741713e-01,4.0000000000000002e-01,
1.8163460834847656e-01,6.0000000000000009e-01,
2.6905737728004353e-01,8.0000000000000004e-01,
4.0710919858602101e-01,1.0000000000000000e+00,
6.6667215681038905e-01,1.2000000000000000e+00,
9.6242245475888055e-01,1.3999999999999999e+00,
1.0136752242850027e+00,1.6000000000000001e+00,
4.6052886427092832e-01,1.0500000000000000e+00,
5.2447193296615757e-01,1.1000000000000001e+00,
5.9460501525411247e-01,1.1499999999999999e+00,
7.4673111608883092e-01,1.2500000000000000e+00,
8.0861292786849637e-01,1.3000000000000000e+00,
8.7251908549171198e-01,1.3500000000000001e+00,
9.9726409784962244e-01,1.4500000000000000e+00,
1.0001694657232556e+00,1.5000000000000000e+00,
9.7308544311761702e-01,1.4099999999999999e+00,
9.6766564685663126e-01,1.4199999999999999e+00,
9.9399618117462274e-01,1.4299999999999999e+00,
1.0001461339433044e+00,1.4399999999999999e+00,
