name,ctp,yaw,ct,cp,u4,v4,an,p1,p4,dp,x0,dv,du
yaw_00_ct_00,0.4,0.0,0.3310316715493965,0.3011440763819184,0.8199308177640605,-0.000012818840739727925,0.09028621046315277,0.001055112849236334,-0.000566688253836088,-0.001621801103072422,7.9,0.000012818840739727925,0.18006918223593948
yaw_00_ct_01,0.8,0.0,0.5555988441624379,0.46301707477562304,0.664193803502391,0.00015846673811690436,0.16663420084392266,0.0020226901778333146,-0.001143208405242262,-0.003165898583075577,7.9,-0.00015846673811690436,0.335806196497609
yaw_00_ct_02,1.2,0.0,0.7169086864816357,0.5541216782053912,0.5424696784456531,-0.00011491787652929348,0.22706798138428552,0.0029328160631099456,-0.001912611786254362,-0.004845427849364307,7.9,0.00011491787652929348,0.4575303215543469
yaw_00_ct_03,1.6,0.0,0.8285646174998794,0.5962516363885952,0.43382446431225324,-0.0005799006993864121,0.2803800406204504,0.003766551143187614,-0.003319439903237754,-0.007085991046425369,7.300000000000001,0.0005799006993864121,0.5661755356877467
yaw_00_ct_04,2.0,0.0,0.9071685205509262,0.6109658828719655,0.3473130291656518,0.0005256610751647069,0.32651335553296745,0.004377727968332049,-0.007809255120864191,-0.012186983089196239,5.9,-0.0005256610751647069,0.6526869708343481
yaw_00_ct_05,2.4,0.0,0.9628217766985194,0.6098362493546283,0.28134280836947406,-0.003898141886951896,0.36661564568498395,0.0048839386526183266,-0.014403050906769905,-0.01928698955938823,5.600000000000001,0.003898141886951896,0.718657191630526
yaw_00_ct_06,2.8,0.0,1.0029182040431002,0.6002321529223353,0.23147039806604752,0.002084720746725146,0.40151435032029736,0.0053110078282803605,-0.02033989326992305,-0.02565090109820341,5.100000000000001,-0.002084720746725146,0.7685296019339525
yaw_00_ct_07,3.2,0.0,1.032884726977944,0.5868171452995595,0.19429074745090094,0.0022076573172390835,0.43186579298496075,0.0056326320022730934,-0.027461608484798606,-0.0330942404870717,4.800000000000001,-0.0022076573172390835,0.8057092525490991
yaw_00_ct_08,3.6,0.0,1.0561111326532768,0.5720225906560238,0.17084656958819636,-0.004060202014908763,0.4583689415157223,0.005876120590103278,-0.03616343211779115,-0.042039552707894424,4.4,0.004060202014908763,0.8291534304118037
yaw_00_ct_09,4.0,0.0,1.0742686292176367,0.5567232320890179,0.15177900524584628,0.0035075621057034253,0.4817653453266473,0.006120265088221749,-0.04167846033941576,-0.04779872542763751,4.200000000000001,-0.0035075621057034253,0.8482209947541537
yaw_00_ct_11,4.8,0.0,1.1017342815211244,0.5278307360980012,0.12468140406055372,-0.004450946656420162,0.5209092201712697,0.006489126792366976,-0.053064032432597975,-0.05955315922496495,3.8000000000000007,0.004450946656420162,0.8753185959394463
yaw_00_ct_13,5.6,0.0,1.120931929534551,0.5015045143239927,0.10652851746788583,-0.006310437158647867,0.5526003844566776,0.006793814313835056,-0.06047526319462872,-0.06726907750846377,3.5999999999999996,0.006310437158647867,0.8934714825321142
yaw_00_ct_15,6.4,0.0,1.1368236342794504,0.4791259063852386,0.09816805075348117,0.006758103186344013,0.5785398086934377,0.006957629665792075,-0.06735937400142437,-0.07431700366721646,3.3000000000000007,-0.006758103186344013,0.9018319492465188
yaw_00_ct_17,7.2,0.0,1.1491988780206535,0.4591203488784066,0.08820898629886155,0.005344087296648896,0.6004866018759242,0.0070962810841489685,-0.07782542963300496,-0.08492171071715393,3.200000000000001,-0.005344087296648896,0.9117910137011385
